Size,Generations,Time
100,1000.in,0.054325
100,100.in,0.014258
100,5000.in,0.184232
10,1000.in,0.002528
10,100.in,0.000446
10,5000.in,0.0218
1000,1000.in,4.0174
1000,100.in,0.57886
1000,5000.in,17.3071
1500,1000.in,8.91576
1500,100.in,1.22544
1500,5000.in,38.4386
2000,1000.in,15.7703
2000,100.in,2.21533
2000,5000.in,68.508
2500,1000.in,24.7789
2500,100.in,3.40796
2500,5000.in,106.271
3000,1000.in,35.7082
3000,100.in,4.95367
3000,5000.in,153.964
3500,1000.in,48.3932
3500,100.in,6.75798
3500,5000.in,209.602
4000,1000.in,63.3184
4000,100.in,8.73652
4000,5000.in,270.929
4500,1000.in,79.7944
4500,100.in,10.9544
4500,5000.in,342.048
5000,1000.in,97.6289
5000,100.in,13.5109
5000,5000.in,420.435
500,1000.in,1.06804
500,100.in,0.13542
500,5000.in,4.37086
