Size,Generations,Time
100,1000.in,0.138767
100,100.in,0.020548
100,5000.in,0.618505
10,1000.in,0.001119
10,100.in,0.000147
10,5000.in,0.005671
1000,1000.in,14.9653
1000,100.in,1.9935
1000,5000.in,65.5374
1500,1000.in,33.6002
1500,100.in,4.47099
1500,5000.in,147.502
2000,1000.in,59.7584
2000,100.in,7.95253
2000,5000.in,262.573
2500,1000.in,94.4113
2500,100.in,12.4148
2500,5000.in,408.963
3000,1000.in,133.998
3000,100.in,17.8531
3000,5000.in,592.057
3500,1000.in,182.506
3500,100.in,24.3001
3500,5000.in,802.133
4000,1000.in,238.157
4000,100.in,31.6511
4000,5000.in,1047.73
4500,1000.in,301.582
4500,100.in,40.0504
4500,5000.in,1326.01
5000,1000.in,372.482
5000,100.in,49.4038
5000,5000.in,1637.76
500,1000.in,3.71982
500,100.in,0.500505
500,5000.in,16.2887
